id,database_url,sample_id,date_collected,location,host,depth,viromics,core_processor,Final greenhouse GWC (%),Freezer location,GWC %,H2O amount (ml),H2O atom perc,Lab dried GWC (%),Time of sampling,Vial size (ml),Weight (gr),Weight dried (gr),Weight for DNA (gr),Weight for pH (gr),Wet Weight (gr),pH
22,https://biotite.berkeley.edu/QRLab/22/detail,AB1_D3_18O-7,3/17/2022,AB,UCB,20-30,0,,,4th floor Firestone 2nd row,,1.2,97,,,,9.698,8.905,,,,
23,https://biotite.berkeley.edu/QRLab/23/detail,AB1_D3_18O-30,3/17/2022,AB,UCB,20-30,0,,,4th floor Banfield top row,,1.2,97,,,,9.98,9.225,,,,
25,https://biotite.berkeley.edu/QRLab/25/detail,AB1_D4_18O-7,3/17/2022,AB,UCB,30-50,0,,,4th floor Firestone 2nd row,,1.2,97,,,,9.736,8.973,,,,
26,https://biotite.berkeley.edu/QRLab/26/detail,AB1_D4_18O-30,3/17/2022,AB,UCB,30-50,0,,,4th floor Banfield top row,,1.2,97,,,,9.658,8.888,,,,
28,https://biotite.berkeley.edu/QRLab/28/detail,AB1_D5_18O-7,3/17/2022,AB,UCB,50-70,0,,,4th floor Firestone 2nd row,,1.2,97,,,,9.65,9.119,,,,
29,https://biotite.berkeley.edu/QRLab/29/detail,AB1_D5_18O-30,3/17/2022,AB,UCB,50-70,0,,,4th floor Banfield top row,,1.2,97,,,,9.378,8.836,,,,
34,https://biotite.berkeley.edu/QRLab/34/detail,AC1_D1_18O-7,3/17/2022,AC,UCB,0-10,0,,,4th floor Firestone 2nd row,,0.6,97,,,,5.195,4.407,,,,
36,https://biotite.berkeley.edu/QRLab/36/detail,AC1_D2_18O-7,3/17/2022,AC,UCB,10-20,0,,,4th floor Firestone 2nd row,,0.6,97,,,,5.167,4.617,,,,
38,https://biotite.berkeley.edu/QRLab/38/detail,AC1_D3_18O-7,3/17/2022,AC,UCB,20-30,0,,,4th floor Firestone 2nd row,,1.2,97,,,,10.328,9.388,,,,
39,https://biotite.berkeley.edu/QRLab/39/detail,AC1_D3_18O-30,3/17/2022,AC,UCB,20-30,0,,,4th floor Banfield top row,,1.2,97,,,,,,,,,
41,https://biotite.berkeley.edu/QRLab/41/detail,AC1_D4_18O-7,3/17/2022,AC,UCB,30-50,0,,,4th floor Firestone 2nd row,,1.2,97,,,,9.719,8.784,,,,
42,https://biotite.berkeley.edu/QRLab/42/detail,AC1_D4_18O-30,3/17/2022,AC,UCB,30-50,0,,,4th floor Banfield top row,,1.2,97,,,,9.806,8.856,,,,
44,https://biotite.berkeley.edu/QRLab/44/detail,AC1_D5_18O-7,3/17/2022,AC,UCB,50-65,0,,,4th floor Firestone 2nd row,,1.2,97,,,,9.908,8.581,,,,
45,https://biotite.berkeley.edu/QRLab/45/detail,AC1_D5_18O-30,3/17/2022,AC,UCB,50-65,0,,,4th floor Banfield top row,,1.2,97,,,,9.998,8.789,,,,
50,https://biotite.berkeley.edu/QRLab/50/detail,HA1_D1_18O-7,3/16/2022,HA,UCB,0-10,0,,,4th floor Firestone 2nd row,,0.6,97,,,,5.065,,,,,
52,https://biotite.berkeley.edu/QRLab/52/detail,HA1_D2_18O-7,3/16/2022,HA,UCB,10-20,0,,,4th floor Firestone 2nd row,,0.6,97,,,,4.991,,,,,
54,https://biotite.berkeley.edu/QRLab/54/detail,HA1_D3_18O-7,3/16/2022,HA,UCB,20-30,0,,,4th floor Firestone 2nd row,,1.2,97,,,,10.08,,,,,
55,https://biotite.berkeley.edu/QRLab/55/detail,HA1_D3_18O-30,3/16/2022,HA,UCB,20-30,0,,,4th floor Banfield mid row,,1.2,97,,,,5.233,,,,,
57,https://biotite.berkeley.edu/QRLab/57/detail,HA1_D4_18O-7,3/16/2022,HA,UCB,30-50,0,,,4th floor Firestone 2nd row,,1.2,97,,,,9.74,,,,,
58,https://biotite.berkeley.edu/QRLab/58/detail,HA1_D4_18O-30,3/16/2022,HA,UCB,30-50,0,,,4th floor Banfield mid row,,1.2,97,,,,10.312,,,,,
