database_url,sample_id,date_collected,location,host,depth,viromics,core_processor,Final greenhouse GWC (%),Freezer location,GWC %,H2O amount (ml),H2O atom perc,Lab dried GWC (%),Time of sampling,Vial size (ml),Weight (gr),Weight dried (gr),Weight for DNA (gr),Weight for pH (gr),Wet Weight (gr),pH
https://biotite.berkeley.edu/QRLab/22/detail,AB1_D3_18O-7,2022-03-17,AB,UCB,20-30,0,,,4th floor Firestone 2nd row,,1.2,97,,,,9.698,8.905,,,,
https://biotite.berkeley.edu/QRLab/23/detail,AB1_D3_18O-30,2022-03-17,AB,UCB,20-30,0,,,4th floor Banfield top row,,1.2,97,,,,9.98,9.225,,,,
https://biotite.berkeley.edu/QRLab/25/detail,AB1_D4_18O-7,2022-03-17,AB,UCB,30-50,0,,,4th floor Firestone 2nd row,,1.2,97,,,,9.736,8.973,,,,
https://biotite.berkeley.edu/QRLab/26/detail,AB1_D4_18O-30,2022-03-17,AB,UCB,30-50,0,,,4th floor Banfield top row,,1.2,97,,,,9.658,8.888,,,,
https://biotite.berkeley.edu/QRLab/28/detail,AB1_D5_18O-7,2022-03-17,AB,UCB,50-70,0,,,4th floor Firestone 2nd row,,1.2,97,,,,9.65,9.119,,,,
https://biotite.berkeley.edu/QRLab/29/detail,AB1_D5_18O-30,2022-03-17,AB,UCB,50-70,0,,,4th floor Banfield top row,,1.2,97,,,,9.378,8.836,,,,
https://biotite.berkeley.edu/QRLab/34/detail,AC1_D1_18O-7,2022-03-17,AC,UCB,0-10,0,,,4th floor Firestone 2nd row,,0.6,97,,,,5.195,4.407,,,,
https://biotite.berkeley.edu/QRLab/36/detail,AC1_D2_18O-7,2022-03-17,AC,UCB,10-20,0,,,4th floor Firestone 2nd row,,0.6,97,,,,5.167,4.617,,,,
https://biotite.berkeley.edu/QRLab/38/detail,AC1_D3_18O-7,2022-03-17,AC,UCB,20-30,0,,,4th floor Firestone 2nd row,,1.2,97,,,,10.328,9.388,,,,
https://biotite.berkeley.edu/QRLab/39/detail,AC1_D3_18O-30,2022-03-17,AC,UCB,20-30,0,,,4th floor Banfield top row,,1.2,97,,,,,,,,,
https://biotite.berkeley.edu/QRLab/41/detail,AC1_D4_18O-7,2022-03-17,AC,UCB,30-50,0,,,4th floor Firestone 2nd row,,1.2,97,,,,9.719,8.784,,,,
https://biotite.berkeley.edu/QRLab/42/detail,AC1_D4_18O-30,2022-03-17,AC,UCB,30-50,0,,,4th floor Banfield top row,,1.2,97,,,,9.806,8.856,,,,
https://biotite.berkeley.edu/QRLab/44/detail,AC1_D5_18O-7,2022-03-17,AC,UCB,50-65,0,,,4th floor Firestone 2nd row,,1.2,97,,,,9.908,8.581,,,,
https://biotite.berkeley.edu/QRLab/45/detail,AC1_D5_18O-30,2022-03-17,AC,UCB,50-65,0,,,4th floor Banfield top row,,1.2,97,,,,9.998,8.789,,,,
https://biotite.berkeley.edu/QRLab/50/detail,HA1_D1_18O-7,2022-03-16,HA,UCB,0-10,0,,,4th floor Firestone 2nd row,,0.6,97,,,,5.065,,,,,
https://biotite.berkeley.edu/QRLab/52/detail,HA1_D2_18O-7,2022-03-16,HA,UCB,10-20,0,,,4th floor Firestone 2nd row,,0.6,97,,,,4.991,,,,,
https://biotite.berkeley.edu/QRLab/54/detail,HA1_D3_18O-7,2022-03-16,HA,UCB,20-30,0,,,4th floor Firestone 2nd row,,1.2,97,,,,10.08,,,,,
https://biotite.berkeley.edu/QRLab/55/detail,HA1_D3_18O-30,2022-03-16,HA,UCB,20-30,0,,,4th floor Banfield mid row,,1.2,97,,,,5.233,,,,,
https://biotite.berkeley.edu/QRLab/57/detail,HA1_D4_18O-7,2022-03-16,HA,UCB,30-50,0,,,4th floor Firestone 2nd row,,1.2,97,,,,9.74,,,,,
https://biotite.berkeley.edu/QRLab/58/detail,HA1_D4_18O-30,2022-03-16,HA,UCB,30-50,0,,,4th floor Banfield mid row,,1.2,97,,,,10.312,,,,,
https://biotite.berkeley.edu/QRLab/60/detail,HA1_D5_18O-7,2022-03-16,HA,UCB,50-80,0,,,4th floor Firestone 2nd row,,1.2,97,,,,10.127,,,,,
https://biotite.berkeley.edu/QRLab/61/detail,HA1_D5_18O-30,2022-03-16,HA,UCB,50-80,0,,,4th floor Banfield mid row,,1.2,97,,,,10.076,,,,,
https://biotite.berkeley.edu/QRLab/66/detail,HB1_D1_18O-7,2022-03-16,HB,UCB,0-10,0,,,4th floor Firestone 2nd row,,0.6,97,,,,9.97,,,,,
https://biotite.berkeley.edu/QRLab/68/detail,HB1_D2_18O-7,2022-03-16,HB,UCB,10-20,0,,,4th floor Firestone 2nd row,,0.6,97,,,,9.895,,,,,
https://biotite.berkeley.edu/QRLab/70/detail,HB1_D3_18O-7,2022-03-16,HB,UCB,20-30,0,,,4th floor Firestone 2nd row,,1.2,97,,,,10.15,,,,,
https://biotite.berkeley.edu/QRLab/71/detail,HB1_D3_18O-30,2022-03-16,HB,UCB,20-30,0,,,4th floor Banfield mid row,,1.2,97,,,,9.635,,,,,
https://biotite.berkeley.edu/QRLab/73/detail,HB1_D4_18O-7,2022-03-16,HB,UCB,30-50,0,,,4th floor Firestone 2nd row,,1.2,97,,,,9.614,,,,,
https://biotite.berkeley.edu/QRLab/74/detail,HB1_D4_18O-30,2022-03-16,HB,UCB,30-50,0,,,4th floor Banfield mid row,,1.2,97,,,,10.24,,,,,
https://biotite.berkeley.edu/QRLab/76/detail,HB1_D5_18O-7,2022-03-16,HB,UCB,50-80,0,,,4th floor Firestone 2nd row,,1.2,97,,,,10.11,,,,,
https://biotite.berkeley.edu/QRLab/77/detail,HB1_D5_18O-30,2022-03-16,HB,UCB,50-80,0,,,4th floor Banfield mid row,,1.2,97,,,,10.06,,,,,
https://biotite.berkeley.edu/QRLab/82/detail,HC1_D1_18O-7,2022-03-16,HC,UCB,0-10,0,,,4th floor Firestone 2nd row,,0.6,97,,,,5.083,,,,,
https://biotite.berkeley.edu/QRLab/84/detail,HC1_D2_18O-7,2022-03-16,HC,UCB,10-20,0,,,4th floor Firestone 2nd row,,0.6,97,,,,5.202,,,,,
https://biotite.berkeley.edu/QRLab/86/detail,HC1_D3_18O-7,2022-03-16,HC,UCB,20-30,0,,,4th floor Firestone 2nd row,,1.2,97,,,,5.146,,,,,
https://biotite.berkeley.edu/QRLab/87/detail,HC1_D3_18O-30,2022-03-16,HC,UCB,20-30,0,,,4th floor Banfield mid row,,1.2,97,,,,10.15,,,,,
https://biotite.berkeley.edu/QRLab/89/detail,HC1_D4_18O-7,2022-03-16,HC,UCB,30-50,0,,,4th floor Firestone 2nd row,,1.2,97,,,,9.98,,,,,
https://biotite.berkeley.edu/QRLab/90/detail,HC1_D4_18O-30,2022-03-16,HC,UCB,30-50,0,,,4th floor Banfield mid row,,1.2,97,,,,9.9,,,,,
https://biotite.berkeley.edu/QRLab/92/detail,HC1_D5_18O-7,2022-03-16,HC,UCB,50-80,0,,,4th floor Firestone 2nd row,,1.2,97,,,,9.736,,,,,
https://biotite.berkeley.edu/QRLab/93/detail,HC1_D5_18O-30,2022-03-16,HC,UCB,50-80,0,,,4th floor Banfield mid row,,1.2,97,,,,9.658,,,,,
https://biotite.berkeley.edu/QRLab/97/detail,AA1_D1_16O-0,2022-03-17,AA,UCB,0-10,0,,,,,,,,,,5.087,,,,,
https://biotite.berkeley.edu/QRLab/98/detail,AA1_D1_16O-7,2022-03-17,AA,UCB,0-10,0,,,4th floor Firestone 2nd row,,0.6,0,,,,4.963,4.373,,,,
https://biotite.berkeley.edu/QRLab/99/detail,AA1_D2_16O-0,2022-03-17,AA,UCB,10-20,0,,,,,,,,,,4.94,,,,,
https://biotite.berkeley.edu/QRLab/100/detail,AA1_D2_16O-7,2022-03-17,AA,UCB,10-20,0,,,4th floor Firestone 2nd row,,0.6,0,,,,5.04,4.47,,,,
https://biotite.berkeley.edu/QRLab/101/detail,AA1_D3_16O-0,2022-03-17,AA,UCB,20-30,0,,,,,,,,,,10.37,,,,,
https://biotite.berkeley.edu/QRLab/102/detail,AA1_D3_16O-7,2022-03-17,AA,UCB,20-30,0,,,4th floor Firestone 2nd row,,1.2,0,,,,9.963,8.992,,,,
https://biotite.berkeley.edu/QRLab/103/detail,AA1_D3_16O-30,2022-03-17,AA,UCB,20-30,0,,,4th floor Banfield top row,,1.2,0,,,,10.02,8.896,,,,
https://biotite.berkeley.edu/QRLab/104/detail,AA1_D4_16O-0,2022-03-17,AA,UCB,30-50,0,,,,,,,,,,10.02,,,,,
https://biotite.berkeley.edu/QRLab/105/detail,AA1_D4_16O-7,2022-03-17,AA,UCB,30-50,0,,,4th floor Firestone 2nd row,,1.2,0,,,,9.976,9.171,,,,
https://biotite.berkeley.edu/QRLab/106/detail,AA1_D4_16O-30,2022-03-17,AA,UCB,30-50,0,,,4th floor Banfield top row,,1.2,0,,,,9.888,9.043,,,,
https://biotite.berkeley.edu/QRLab/107/detail,AA1_D5_16O-0,2022-03-17,AA,UCB,50-70,0,,,,,,,,,,10.067,,,,,
https://biotite.berkeley.edu/QRLab/108/detail,AA1_D5_16O-7,2022-03-17,AA,UCB,50-70,0,,,4th floor Firestone 2nd row,,1.2,0,,,,9.852,9.23,,,,
https://biotite.berkeley.edu/QRLab/109/detail,AA1_D5_16O-30,2022-03-17,AA,UCB,50-70,0,,,4th floor Banfield top row,,1.2,0,,,,9.759,9.131,,,,
https://biotite.berkeley.edu/QRLab/113/detail,AB1_D1_16O-0,2022-03-17,AB,UCB,0-10,0,,,,,,,,,,5.128,,,,,
https://biotite.berkeley.edu/QRLab/114/detail,AB1_D1_16O-7,2022-03-17,AB,UCB,0-10,0,,,4th floor Firestone 2nd row,,0.6,0,,,,5.055,4.298,,,,
https://biotite.berkeley.edu/QRLab/115/detail,AB1_D2_16O-0,2022-03-17,AB,UCB,10-20,0,,,,,,,,,,5.01,,,,,
https://biotite.berkeley.edu/QRLab/116/detail,AB1_D2_16O-7,2022-03-17,AB,UCB,10-20,0,,,4th floor Firestone 2nd row,,0.6,0,,,,5.135,4.575,,,,
https://biotite.berkeley.edu/QRLab/117/detail,AB1_D3_16O-0,2022-03-17,AB,UCB,20-30,0,,,,,,,,,,10.03,,,,,
https://biotite.berkeley.edu/QRLab/118/detail,AB1_D3_16O-7,2022-03-17,AB,UCB,20-30,0,,,4th floor Firestone 2nd row,,1.2,0,,,,9.804,9.051,,,,
https://biotite.berkeley.edu/QRLab/119/detail,AB1_D3_16O-30,2022-03-17,AB,UCB,20-30,0,,,4th floor Banfield top row,,1.2,0,,,,9.737,8.914,,,,
https://biotite.berkeley.edu/QRLab/120/detail,AB1_D4_16O-0,2022-03-17,AB,UCB,30-50,0,,,,,,,,,,10.16,,,,,
https://biotite.berkeley.edu/QRLab/121/detail,AB1_D4_16O-7,2022-03-17,AB,UCB,30-50,0,,,4th floor Firestone 2nd row,,1.2,0,,,,9.713,8.967,,,,
https://biotite.berkeley.edu/QRLab/122/detail,AB1_D4_16O-30,2022-03-17,AB,UCB,30-50,0,,,4th floor Banfield top row,,1.2,0,,,,9.805,9.088,,,,
https://biotite.berkeley.edu/QRLab/123/detail,AB1_D5_16O-0,2022-03-17,AB,UCB,50-70,0,,,,,,,,,,10.153,,,,,
https://biotite.berkeley.edu/QRLab/124/detail,AB1_D5_16O-7,2022-03-17,AB,UCB,50-70,0,,,4th floor Firestone 2nd row,,1.2,0,,,,9.512,8.987,,,,
https://biotite.berkeley.edu/QRLab/125/detail,AB1_D5_16O-30,2022-03-17,AB,UCB,50-70,0,,,4th floor Banfield top row,,1.2,0,,,,9.457,8.94,,,,
https://biotite.berkeley.edu/QRLab/129/detail,AC1_D1_16O-0,2022-03-17,AC,UCB,0-10,0,,,,,,,,,,5.24,,,,,
https://biotite.berkeley.edu/QRLab/130/detail,AC1_D1_16O-7,2022-03-17,AC,UCB,0-10,0,,,4th floor Firestone 2nd row,,0.6,0,,,,5.112,4.367,,,,
https://biotite.berkeley.edu/QRLab/131/detail,AC1_D2_16O-0,2022-03-17,AC,UCB,10-20,0,,,,,,,,,,5.14,,,,,
https://biotite.berkeley.edu/QRLab/132/detail,AC1_D2_16O-7,2022-03-17,AC,UCB,10-20,0,,,4th floor Firestone 2nd row,,0.6,0,,,,5.267,4.729,,,,
https://biotite.berkeley.edu/QRLab/133/detail,AC1_D3_16O-0,2022-03-17,AC,UCB,20-30,0,,,,,,,,,,10.63,,,,,
https://biotite.berkeley.edu/QRLab/134/detail,AC1_D3_16O-7,2022-03-17,AC,UCB,20-30,0,,,4th floor Firestone 2nd row,,1.2,0,,,,10.321,9.406,,,,
https://biotite.berkeley.edu/QRLab/135/detail,AC1_D3_16O-30,2022-03-17,AC,UCB,20-30,0,,,4th floor Banfield top row,,1.2,0,,,,10.136,9.203,,,,
https://biotite.berkeley.edu/QRLab/136/detail,AC1_D4_16O-0,2022-03-17,AC,UCB,30-50,0,,,,,,,,,,10.08,,,,,
https://biotite.berkeley.edu/QRLab/137/detail,AC1_D4_16O-7,2022-03-17,AC,UCB,30-50,0,,,4th floor Firestone 2nd row,,1.2,0,,,,9.721,8.749,,,,
https://biotite.berkeley.edu/QRLab/138/detail,AC1_D4_16O-30,2022-03-17,AC,UCB,30-50,0,,,4th floor Banfield top row,,1.2,0,,,,9.764,8.793,,,,
https://biotite.berkeley.edu/QRLab/139/detail,AC1_D5_16O-0,2022-03-17,AC,UCB,50-65,0,,,,,,,,,,10.135,,,,,
https://biotite.berkeley.edu/QRLab/140/detail,AC1_D5_16O-7,2022-03-17,AC,UCB,50-65,0,,,4th floor Firestone 2nd row,,1.2,0,,,,10.175,8.886,,,,
https://biotite.berkeley.edu/QRLab/141/detail,AC1_D5_16O-30,2022-03-17,AC,UCB,50-65,0,,,4th floor Banfield top row,,1.2,0,,,,10.164,8.934,,,,
https://biotite.berkeley.edu/QRLab/145/detail,HA1_D1_16O-0,2022-03-16,HA,UCB,0-10,0,,,,,,,,,,5.164,,,,,
https://biotite.berkeley.edu/QRLab/146/detail,HA1_D1_16O-7,2022-03-16,HA,UCB,0-10,0,,,4th floor Firestone 2nd row,,0.6,0,,,,9.65,,,,,
https://biotite.berkeley.edu/QRLab/147/detail,HA1_D2_16O-0,2022-03-16,HA,UCB,10-20,0,,,,,,,,,,9.378,,,,,
https://biotite.berkeley.edu/QRLab/148/detail,HA1_D2_16O-7,2022-03-16,HA,UCB,10-20,0,,,4th floor Firestone 2nd row,,0.6,0,,,,5.057,,,,,
https://biotite.berkeley.edu/QRLab/149/detail,HA1_D3_16O-0,2022-03-16,HA,UCB,20-30,0,,,,,,,,,,10.005,,,,,
https://biotite.berkeley.edu/QRLab/150/detail,HA1_D3_16O-7,2022-03-16,HA,UCB,20-30,0,,,4th floor Firestone 2nd row,,1.2,0,,,,9.857,,,,,
https://biotite.berkeley.edu/QRLab/151/detail,HA1_D3_16O-30,2022-03-16,HA,UCB,20-30,0,,,4th floor Banfield mid row,,1.2,0,,,,10.06,,,,,
https://biotite.berkeley.edu/QRLab/152/detail,HA1_D4_16O-0,2022-03-16,HA,UCB,30-50,0,,,,,,,,,,5.195,,,,,
https://biotite.berkeley.edu/QRLab/153/detail,HA1_D4_16O-7,2022-03-16,HA,UCB,30-50,0,,,4th floor Firestone 2nd row,,1.2,0,,,,10.17,,,,,
https://biotite.berkeley.edu/QRLab/154/detail,HA1_D4_16O-30,2022-03-16,HA,UCB,30-50,0,,,4th floor Banfield mid row,,1.2,0,,,,5.167,,,,,
https://biotite.berkeley.edu/QRLab/155/detail,HA1_D5_16O-0,2022-03-16,HA,UCB,50-80,0,,,,,,,,,,10.007,,,,,
https://biotite.berkeley.edu/QRLab/156/detail,HA1_D5_16O-7,2022-03-16,HA,UCB,50-80,0,,,4th floor Firestone 2nd row,,1.2,0,,,,10.328,,,,,
https://biotite.berkeley.edu/QRLab/157/detail,HA1_D5_16O-30,2022-03-16,HA,UCB,50-80,0,,,4th floor Banfield mid row,,1.2,0,,,,10.187,,,,,
https://biotite.berkeley.edu/QRLab/161/detail,HB1_D1_16O-0,2022-03-16,HB,UCB,0-10,0,,,,,,,,,,5.174,,,,,
https://biotite.berkeley.edu/QRLab/162/detail,HB1_D1_16O-7,2022-03-16,HB,UCB,0-10,0,,,4th floor Firestone 2nd row,,0.6,0,,,,9.719,,,,,
https://biotite.berkeley.edu/QRLab/163/detail,HB1_D2_16O-0,2022-03-16,HB,UCB,10-20,0,,,,,,,,,,9.806,,,,,
https://biotite.berkeley.edu/QRLab/164/detail,HB1_D2_16O-7,2022-03-16,HB,UCB,10-20,0,,,4th floor Firestone 2nd row,,0.6,0,,,,5.022,,,,,
https://biotite.berkeley.edu/QRLab/165/detail,HB1_D3_16O-0,2022-03-16,HB,UCB,20-30,0,,,,,,,,,,9.908,,,,,
https://biotite.berkeley.edu/QRLab/166/detail,HB1_D3_16O-7,2022-03-16,HB,UCB,20-30,0,,,4th floor Firestone 2nd row,,1.2,0,,,,9.998,,,,,
https://biotite.berkeley.edu/QRLab/167/detail,HB1_D3_16O-30,2022-03-16,HB,UCB,20-30,0,,,4th floor Banfield mid row,,1.2,0,,,,10.124,,,,,
https://biotite.berkeley.edu/QRLab/168/detail,HB1_D4_16O-0,2022-03-16,HB,UCB,30-50,0,,,,,,,,,,9.92,,,,,
https://biotite.berkeley.edu/QRLab/169/detail,HB1_D4_16O-7,2022-03-16,HB,UCB,30-50,0,,,4th floor Firestone 2nd row,,1.2,0,,,,10.19,,,,,
https://biotite.berkeley.edu/QRLab/170/detail,HB1_D4_16O-30,2022-03-16,HB,UCB,30-50,0,,,4th floor Banfield mid row,,1.2,0,,,,10.113,,,,,
https://biotite.berkeley.edu/QRLab/171/detail,HB1_D5_16O-0,2022-03-16,HB,UCB,50-80,0,,,,,,,,,,10.16,,,,,
https://biotite.berkeley.edu/QRLab/172/detail,HB1_D5_16O-7,2022-03-16,HB,UCB,50-80,0,,,4th floor Firestone 2nd row,,1.2,0,,,,9.75,,,,,
https://biotite.berkeley.edu/QRLab/173/detail,HB1_D5_16O-30,2022-03-16,HB,UCB,50-80,0,,,4th floor Banfield mid row,,1.2,0,,,,10.25,,,,,
https://biotite.berkeley.edu/QRLab/177/detail,HC1_D1_16O-0,2022-03-16,HC,UCB,0-10,0,,,,,,,,,,5.013,,,,,
https://biotite.berkeley.edu/QRLab/178/detail,HC1_D1_16O-7,2022-03-16,HC,UCB,0-10,0,,,4th floor Firestone 2nd row,,0.6,0,,,,5.006,,,,,
https://biotite.berkeley.edu/QRLab/179/detail,HC1_D2_16O-0,2022-03-16,HC,UCB,10-20,0,,,,,,,,,,5.216,,,,,
https://biotite.berkeley.edu/QRLab/180/detail,HC1_D2_16O-7,2022-03-16,HC,UCB,10-20,0,,,4th floor Firestone 2nd row,,0.6,0,,,,5.039,,,,,
https://biotite.berkeley.edu/QRLab/181/detail,HC1_D3_16O-0,2022-03-16,HC,UCB,20-30,0,,,,,,,,,,10.25,,,,,
https://biotite.berkeley.edu/QRLab/182/detail,HC1_D3_16O-7,2022-03-16,HC,UCB,20-30,0,,,4th floor Firestone 2nd row,,1.2,0,,,,9.92,,,,,
https://biotite.berkeley.edu/QRLab/183/detail,HC1_D3_16O-30,2022-03-16,HC,UCB,20-30,0,,,4th floor Banfield mid row,,1.2,0,,,,10.66,,,,,
https://biotite.berkeley.edu/QRLab/184/detail,HC1_D4_16O-0,2022-03-16,HC,UCB,30-50,0,,,,,,,,,,10.25,,,,,
https://biotite.berkeley.edu/QRLab/185/detail,HC1_D4_16O-7,2022-03-16,HC,UCB,30-50,0,,,4th floor Firestone 2nd row,,1.2,0,,,,10.07,,,,,
https://biotite.berkeley.edu/QRLab/186/detail,HC1_D4_16O-30,2022-03-16,HC,UCB,30-50,0,,,4th floor Banfield mid row,,1.2,0,,,,10.06,,,,,
https://biotite.berkeley.edu/QRLab/187/detail,HC1_D5_16O-0,2022-03-16,HC,UCB,50-80,0,,,,,,,,,,10.01,,,,,
https://biotite.berkeley.edu/QRLab/188/detail,HC1_D5_16O-7,2022-03-16,HC,UCB,50-80,0,,,4th floor Firestone 2nd row,,1.2,0,,,,9.96,,,,,
https://biotite.berkeley.edu/QRLab/189/detail,HC1_D5_16O-30,2022-03-16,HC,UCB,50-80,0,,,4th floor Banfield mid row,,1.2,0,,,,10.16,,,,,
https://biotite.berkeley.edu/QRLab/193/detail,AA1_D1_GSC,2022-03-17,AA,UCB,0-10,0,,,,24.7396979,,,,,,,,,5.04,,4.63
https://biotite.berkeley.edu/QRLab/194/detail,AA1_D2_GSC,2022-03-17,AA,UCB,10-20,0,,,,25.74349442,,,,,,,,,5.063,,4.65
https://biotite.berkeley.edu/QRLab/195/detail,AA1_D3_GSC,2022-03-17,AA,UCB,20-30,0,,,,22.72609819,,,,,,,,,5.068,,4.63
https://biotite.berkeley.edu/QRLab/196/detail,AA1_D4_GSC,2022-03-17,AA,UCB,30-50,0,,,,20.26437541,,,,,,,,,5.059,,4.675
https://biotite.berkeley.edu/QRLab/197/detail,AA1_D5_GSC,2022-03-17,AA,UCB,50-70,0,,,,18.11034115,,,,,,,,,5.07,,4.565
https://biotite.berkeley.edu/QRLab/199/detail,AB1_D1_GSC,2022-03-17,AB,UCB,0-10,0,,,,23.79874214,,,,,,,,,5.029,,4.61
https://biotite.berkeley.edu/QRLab/200/detail,AB1_D2_GSC,2022-03-17,AB,UCB,10-20,0,,,,24.46318008,,,,,,,,,5.076,,4.665
https://biotite.berkeley.edu/QRLab/201/detail,AB1_D3_GSC,2022-03-17,AB,UCB,20-30,0,,,,19.80121337,,,,,,,,,5.009,,4.775
https://biotite.berkeley.edu/QRLab/202/detail,AB1_D4_GSC,2022-03-17,AB,UCB,30-50,0,,,,19.41418543,,,,,,,,,5.022,,4.925
https://biotite.berkeley.edu/QRLab/203/detail,AB1_D5_GSC,2022-03-17,AB,UCB,50-70,0,,,,16.72620566,,,,,,,,,5.02,,5.05
https://biotite.berkeley.edu/QRLab/205/detail,AC1_D1_GSC,2022-03-17,AC,UCB,0-10,0,,,,24.57582185,,,,,,,,,5.062,,4.595
https://biotite.berkeley.edu/QRLab/206/detail,AC1_D2_GSC,2022-03-17,AC,UCB,10-20,0,,,,23.70200108,,,,,,,,,5.09,,4.57
https://biotite.berkeley.edu/QRLab/207/detail,AC1_D3_GSC,2022-03-17,AC,UCB,20-30,0,,,,22.07249697,,,,,,,,,5.086,,4.495
https://biotite.berkeley.edu/QRLab/208/detail,AC1_D4_GSC,2022-03-17,AC,UCB,30-50,0,,,,22.86282306,,,,,,,,,5.066,,4.56
https://biotite.berkeley.edu/QRLab/209/detail,AC1_D5_GSC,2022-03-17,AC,UCB,50-65,0,,,,21.36752137,,,,,,,,,5.02,,4.49
https://biotite.berkeley.edu/QRLab/211/detail,HA1_D1_GSC,2022-03-16,HA,UCB,0-10,0,,,,9.227348527,,,,,,,,,5.005,,4.865
https://biotite.berkeley.edu/QRLab/212/detail,HA1_D2_GSC,2022-03-16,HA,UCB,10-20,0,,,,7.370413206,,,,,,,,,5.012,,4.965
https://biotite.berkeley.edu/QRLab/213/detail,HA1_D3_GSC,2022-03-16,HA,UCB,20-30,0,,,,7.854489841,,,,,,,,,4.999,,5.02
https://biotite.berkeley.edu/QRLab/214/detail,HA1_D4_GSC,2022-03-16,HA,UCB,30-50,0,,,,7.835581246,,,,,,,,,5.053,,5.075
https://biotite.berkeley.edu/QRLab/215/detail,HA1_D5_GSC,2022-03-16,HA,UCB,50-80,0,,,,9.239189929,,,,,,,,,5.007,,5.08
https://biotite.berkeley.edu/QRLab/217/detail,HB1_D1_GSC,2022-03-16,HB,UCB,0-10,0,,,,7.909849388,,,,,,,,,5.018,,4.885
https://biotite.berkeley.edu/QRLab/218/detail,HB1_D2_GSC,2022-03-16,HB,UCB,10-20,0,,,,5.814536341,,,,,,,,,5.026,,4.84
https://biotite.berkeley.edu/QRLab/219/detail,HB1_D3_GSC,2022-03-16,HB,UCB,20-30,0,,,,,,,,,,,,,,,
https://biotite.berkeley.edu/QRLab/220/detail,HB1_D4_GSC,2022-03-16,HB,UCB,30-50,0,,,,8.510167993,,,,,,,,,5.049,,5.15
https://biotite.berkeley.edu/QRLab/221/detail,HB1_D5_GSC,2022-03-16,HB,UCB,50-80,0,,,,9.022475535,,,,,,,,,5.049,,5.31
https://biotite.berkeley.edu/QRLab/223/detail,HC1_D1_GSC,2022-03-16,HC,UCB,0-10,0,,,,9.299757013,,,,,,,,,5.040,,4.875
https://biotite.berkeley.edu/QRLab/224/detail,HC1_D2_GSC,2022-03-16,HC,UCB,10-20,0,,,,9.519669637,,,,,,,,,5.023,,4.93
https://biotite.berkeley.edu/QRLab/225/detail,HC1_D3_GSC,2022-03-16,HC,UCB,20-30,0,,,,9.517045455,,,,,,,,,5.029,,5.045
https://biotite.berkeley.edu/QRLab/226/detail,HC1_D4_GSC,2022-03-16,HC,UCB,30-50,0,,,,9.419735548,,,,,,,,,5.040,,5.185
https://biotite.berkeley.edu/QRLab/227/detail,HC1_D5_GSC,2022-03-16,HC,UCB,50-80,0,,,,8.837261005,,,,,,,,,5.086,,5.375
https://biotite.berkeley.edu/QRLab/229/detail,AA1_D1_CO2,2022-03-21,AA,UCB,0-10,0,,,,,,,,,,,,,,,
https://biotite.berkeley.edu/QRLab/230/detail,AA1_D2_CO2,2022-03-21,AA,UCB,10-20,0,,,,,,,,,,,,,,,
https://biotite.berkeley.edu/QRLab/231/detail,AA1_D3_CO2,2022-03-21,AA,UCB,20-30,0,,,,,,,,,,,,,,,
https://biotite.berkeley.edu/QRLab/232/detail,AA1_D4_CO2,2022-03-21,AA,UCB,30-50,0,,,,,,,,,,,,,,,
