database_url,id,sample_id,date_collected,location,host,depth,viromics,core_processor,DNA concentration extr1 (ng/ul),DNA loaded for SIP (ug),DNA loaded for SIP (ul),Final greenhouse GWC (%),Freezer location,GWC %,Grams soil DNA extr1,H2O amount (ml),H2O atom perc,Lab dried GWC (%),Time of sampling,Vial size (ml),Volume extr1 (ul),Weight (gr),Weight dried (gr),Weight for DNA (gr),Weight for pH (gr),Wet Weight (gr),pH
https://biotite.berkeley.edu/QRLab/60/detail,60,HA1_D5_18O-7,2022-03-16,HA,UCB,50-80,0,,,,,,4th floor Firestone 2nd row,,,1.2,97,,,,,10.127,,,,,
https://biotite.berkeley.edu/QRLab/61/detail,61,HA1_D5_18O-30,2022-03-16,HA,UCB,50-80,0,,,,,,4th floor Banfield mid row,,,1.2,97,,,,,10.076,,,,,
https://biotite.berkeley.edu/QRLab/66/detail,66,HB1_D1_18O-7,2022-03-16,HB,UCB,0-10,0,,,,,,4th floor Firestone 2nd row,,,0.6,97,,,,,9.97,,,,,
https://biotite.berkeley.edu/QRLab/68/detail,68,HB1_D2_18O-7,2022-03-16,HB,UCB,10-20,0,,,,,,4th floor Firestone 2nd row,,,0.6,97,,,,,9.895,,,,,
https://biotite.berkeley.edu/QRLab/70/detail,70,HB1_D3_18O-7,2022-03-16,HB,UCB,20-30,0,,,,,,4th floor Firestone 2nd row,,,1.2,97,,,,,10.15,,,,,
https://biotite.berkeley.edu/QRLab/71/detail,71,HB1_D3_18O-30,2022-03-16,HB,UCB,20-30,0,,,,,,4th floor Banfield mid row,,,1.2,97,,,,,9.635,,,,,
https://biotite.berkeley.edu/QRLab/73/detail,73,HB1_D4_18O-7,2022-03-16,HB,UCB,30-50,0,,,,,,4th floor Firestone 2nd row,,,1.2,97,,,,,9.614,,,,,
https://biotite.berkeley.edu/QRLab/74/detail,74,HB1_D4_18O-30,2022-03-16,HB,UCB,30-50,0,,,,,,4th floor Banfield mid row,,,1.2,97,,,,,10.24,,,,,
https://biotite.berkeley.edu/QRLab/76/detail,76,HB1_D5_18O-7,2022-03-16,HB,UCB,50-80,0,,,,,,4th floor Firestone 2nd row,,,1.2,97,,,,,10.11,,,,,
https://biotite.berkeley.edu/QRLab/77/detail,77,HB1_D5_18O-30,2022-03-16,HB,UCB,50-80,0,,,,,,4th floor Banfield mid row,,,1.2,97,,,,,10.06,,,,,
https://biotite.berkeley.edu/QRLab/82/detail,82,HC1_D1_18O-7,2022-03-16,HC,UCB,0-10,0,,,,,,4th floor Firestone 2nd row,,,0.6,97,,,,,5.083,,,,,
