Samples with high stdevs for the concentration measurements:
Density thresholds:	1.72904	1.72240	1.71584	1.70770
HA3_D3_16O-7-1515-143-ABCD	 0.242_1.75837:1.73124_0.000-0.000-0.000-0.000-0.056-1.395	14.278_1.72577:1.72577_14.278	18.111_1.71922:1.71922_18.111	12.059_1.71375:1.71375_12.059	1.450_1.70720:1.63070_6.176-2.063-1.296-0.859-0.431-0.256-0.243-0.275
HA3_D3_18O-7-1449-131-EFGH	 1.352_1.75807:1.73293_0.073-0.306-0.714-1.747-3.922	9.227_1.72747:1.72747_9.227	11.989_1.72200:1.72200_11.989	8.270_1.71545:1.71108_10.265-6.274	0.724_1.70471:1.64898_2.511-1.088-0.710-0.378-0.157-0.101-0.121
HA3_D5_16O-7-1521-125-EFGH	 0.124_1.75924:1.73520_0.000-0.000-0.030-0.141-0.447	4.652_1.72864:1.72318_2.439-6.865	6.768_1.71771:1.71771_6.768	5.579_1.71116:1.71116_5.579	0.691_1.70569:1.64778_2.882-1.201-0.568-0.186-0.000-0.000-0.000
HA3_D5_18O-7-1453-125-EFGH	 0.612_1.75943:1.73449_0.041-0.203-0.520-0.745-1.550	4.430_1.72903:1.72356_3.131-5.729	2.894_1.71720:1.71720_2.894	1.208_1.71173:1.71173_1.208	0.312_1.70627:1.65491_0.762-0.433-0.401-0.322-0.132-0.070-0.066
HB3_D1_16O-7-1524-135-ABCD	 1.591_1.75394:1.73028_0.000-0.000-0.045-0.756-7.156	11.977_1.72263:1.72263_11.977	10.663_1.71736:1.71736_10.663	7.512_1.71190:1.71190_7.512	1.124_1.70662:1.66330_3.264-2.190-1.198-0.568-0.312-0.140-0.196
HB3_D1_18O-7-1455-129-ABCD	 1.772_1.75776:1.73392_0.000-0.268-0.741-1.962-5.891	15.379_1.72845:1.72845_15.379	14.575_1.72209:1.72209_14.575	5.920_1.71553:1.71007_8.382-3.459	0.553_1.70460:1.63376_1.706-1.167-0.612-0.282-0.105-0.000-0.000
HB3_D3_16O-7-1528-140-IJKL	 1.723_1.75563:1.73178_0.000-0.020-0.146-0.735-7.717	18.127_1.72632:1.72632_18.127	16.572_1.71976:1.71976_16.572	8.214_1.71539:1.70774_11.089-5.339	0.895_1.70337:1.63344_2.559-1.423-0.620-0.248-0.252-0.269
HB3_D3_18O-7-1457-132-EFGH	 1.708_1.75949:1.73107_0.044-0.196-0.548-1.073-2.689-5.696	11.913_1.72561:1.72561_11.913	14.939_1.71905:1.71905_14.939	10.544_1.71359:1.71359_10.544	1.692_1.70703:1.64931_6.136-2.494-1.245-0.805-0.503-0.365-0.298
HB3_D5_16O-7-1534-125-ABCD	 0.230_1.75591:1.73077_0.000-0.000-0.019-0.142-0.991	6.998_1.72531:1.72531_6.998	11.786_1.71985:1.71985_11.786	6.337_1.71438:1.70802_7.325-5.348	0.634_1.70255:1.65794_1.967-0.840-0.551-0.216-0.113-0.114
HB3_D5_18O-7-1461-144-E	 6.920_1.75551:1.73147_0.730-2.147-4.265-8.810-18.648	30.455_1.72600:1.72600_30.455	30.443_1.71964:1.71964_30.443	17.266_1.71417:1.70871_23.116-11.415	1.628_1.70215:1.62675_4.494-2.745-1.884-0.836-0.496-0.443-0.498
HC3_D1_16O-7-1537-138-EFGH	 1.625_1.75664:1.72933_0.063-0.091-0.109-0.488-1.657-7.341	15.615_1.72386:1.72386_15.615	12.488_1.71621:1.71621_12.488	8.676_1.71075:1.71075_8.676	1.139_1.70528:1.66067_3.621-1.843-1.152-0.620-0.343-0.225-0.170
HC3_D1_18O-7-1463-132-IJKL	 1.618_1.75481:1.73116_0.000-0.239-0.685-2.175-4.993	13.447_1.72460:1.72460_13.447	14.917_1.72023:1.72023_14.917	7.052_1.71367:1.70821_9.631-4.474	0.648_1.70165:1.65704_1.819-0.938-0.558-0.296-0.129-0.149
HC3_D3_16O-7-1541-135-IJKL	 2.089_1.75758:1.72916_0.000-0.082-0.209-0.615-2.040-9.590	16.959_1.72261:1.72261_16.959	15.664_1.71714:1.71714_15.664	14.779_1.71059:1.71059_14.779	2.457_1.70512:1.66707_8.450-3.866-2.183-1.108-0.696-0.473-0.423
HC3_D3_18O-7-1465-133-EFGH	 2.390_1.75615:1.73102_0.122-0.506-1.338-3.271-6.710	11.546_1.72446:1.72446_11.546	10.295_1.71900:1.71900_10.295	6.966_1.71373:1.70826_9.007-4.924	0.652_1.70190:1.66474_1.801-0.896-0.553-0.318-0.168-0.173
HC3_D5_16O-7-1547-125-ABCD	 0.148_1.75752:1.73348_0.000-0.000-0.000-0.083-0.654	10.859_1.72801:1.72274_5.453-16.265	14.648_1.71728:1.71728_14.648	9.987_1.71072:1.71072_9.987	1.149_1.70526:1.64535_4.755-1.520-0.923-0.460-0.185-0.117-0.082
HC3_D5_18O-7-1469-126-IJKL	 0.697_1.75602:1.73088_0.000-0.101-0.371-0.779-2.235	7.254_1.72433:1.72433_7.254	10.274_1.71886:1.71886_10.274	7.532_1.71231:1.71231_7.532	0.968_1.70684:1.64475_4.812-1.579-0.580-0.297-0.163-0.092-0.079-0.141
HA4_D1_16O-7-1768-138-IJKL	 0.444_1.75869:1.73247_0.000-0.000-0.016-0.146-2.059	17.555_1.72700:1.72700_17.555	23.962_1.72154:1.71608_26.931-20.992	9.788_1.70971:1.70971_9.788	1.319_1.70534:1.67056_3.854-2.418-1.378-0.811-0.394-0.181-0.201
HA4_D1_18O-7-1869-133-IJKL	 3.048_1.75987:1.73055_0.000-0.182-0.646-1.857-4.278-11.326	21.567_1.72509:1.72509_21.567	17.707_1.71963:1.71963_17.707	10.928_1.71307:1.71307_10.928	1.230_1.70761:1.66608_4.263-1.903-1.098-0.649-0.317-0.171-0.210
HA4_D3_16O-7-1770-144-ABCD	 0.885_1.75792:1.73407_0.000-0.000-0.000-0.397-4.027	20.316_1.72751:1.72751_20.316	22.491_1.72224:1.71677_24.878-20.104	10.785_1.71022:1.71022_10.785	1.244_1.70585:1.65140_3.692-2.011-1.227-0.669-0.375-0.332-0.398
HA4_D3_18O-7-1784-133-IJKL	 1.485_1.75621:1.73217_0.089-0.323-0.730-2.066-4.216	9.676_1.72780:1.72780_9.676	12.448_1.72124:1.72124_12.448	6.768_1.71468:1.70813_8.773-4.763	0.480_1.70266:1.65349_1.427-0.788-0.524-0.287-0.152-0.098-0.081
HB4_D1_16O-7-1773-143-ABCD	 0.775_1.75593:1.73080_0.000-0.000-0.004-0.258-3.612	13.619_1.72553:1.72553_13.619	19.254_1.71897:1.71897_19.254	6.414_1.71242:1.70804_9.132-3.697	1.008_1.70149:1.65578_1.652-1.256-0.765-0.416-2.368-0.197-0.402
HB4_D1_18O-7-1787-144-ABCD	 2.501_1.75783:1.73270_0.173-0.634-1.444-3.061-7.193	14.895_1.72742:1.72742_14.895	14.928_1.72087:1.72087_14.928	8.645_1.71540:1.70885_11.942-5.348	0.777_1.70357:1.64803_2.250-1.324-0.730-0.456-0.279-0.236-0.167
HB4_D3_16O-7-1775-137-ABCD	 0.509_1.74337:1.72916_0.000-0.000-0.000-0.000-0.105-0.411-3.048	18.471_1.72389:1.72389_18.471	28.497_1.71952:1.71952_28.497	17.422_1.71405:1.71405_17.422	2.614_1.70750:1.65742_12.111-4.151-1.901-1.241-0.705-0.345-0.206-0.251
HB4_D3_18O-7-1789-129-MNOP	 3.236_1.75337:1.72933_0.279-0.703-1.390-3.525-10.281	14.499_1.72386:1.72386_14.499	10.280_1.71840:1.71840_10.280	2.610_1.71184:1.71184_2.610	0.333_1.70657:1.66305_0.737-0.412-0.995-0.119-0.069-0.000-0.000
HB4_D5_16O-7-1777-136-IJKL	 0.703_1.75413:1.73118_0.000-0.000-0.044-0.281-3.189	14.351_1.72463:1.72463_14.351	15.835_1.71807:1.71807_15.835	12.739_1.71151:1.71151_12.739	1.628_1.70714:1.66362_6.463-2.205-1.211-0.671-0.337-0.232-0.277
HB4_D5_18O-7-1791-141-EFGH	 3.725_1.75894:1.72963_0.100-0.585-1.146-2.171-5.018-13.332	20.724_1.72416:1.72416_20.724	17.265_1.71761:1.71761_17.265	10.238_1.71233:1.71233_10.238	1.294_1.70578:1.65114_4.062-1.938-1.240-0.698-0.406-0.337-0.375
HC4_D1_16O-7-1778-136-EFGH	 0.684_1.75883:1.73042_0.000-0.000-0.085-0.216-0.632-3.170	9.655_1.72405:1.72405_9.655	14.458_1.71859:1.71859_14.458	8.104_1.71313:1.71313_8.104	1.632_1.70676:1.66633_5.069-2.608-1.655-0.935-0.537-0.325-0.296
HC4_D1_18O-7-1792-129-EFGH	 1.072_1.75883:1.73370_0.099-0.326-0.664-1.365-2.909	6.627_1.72823:1.72823_6.627	9.736_1.72168:1.71621_10.267-9.205	5.384_1.71184:1.71184_5.384	0.839_1.70528:1.66086_2.595-1.375-0.823-0.455-0.287-0.191-0.148
