z16_1,0.15
z16_2,2.52
z16_3,6.83
z16_4,6.19
z16_5,0.87
z17_1,0.11
z17_2,2.96
z17_3,9.40
z17_4,10.82
z17_5,1.84
z18_1,0.12
z18_2,2.15
z18_3,8.37
z18_4,10.24
z18_5,0.96
Z10_1,0.87
Z10_2,3.70
Z10_3,4.84
Z10_4,4.05
Z10_5,1.57
Z11_1,0.78
Z11_2,3.64
Z11_3,7.71
Z11_4,5.29
Z11_5,0.68
Z12_1,1.71
Z12_2,7.00
Z12_3,8.45
Z12_4,7.16
Z12_5,0.90
z14_1,0.23
z14_2,7.00
z14_3,11.79
z14_4,6.34
z14_5,0.63
z15_1,0.15
z15_2,10.86
z15_3,14.65
z15_4,9.99
z15_5,1.15
z13_1,0.12
z13_2,4.65
z13_3,6.77
z13_4,5.58
z13_5,0.69
Z7_1,0.61
Z7_2,4.43
Z7_3,2.89
Z7_4,1.21
Z7_5,0.31
Z9_1,0.70
Z9_2,7.25
Z9_3,10.27
Z9_4,7.53
Z9_5,0.97
J2_1,1.77
J2_2,15.38
J2_3,14.57
J2_4,5.92
J2_5,0.55
J5_1,2.83
J5_2,15.93
J5_3,15.35
J5_4,8.97
J5_5,1.05
J6_1,0.82
J6_2,10.12
J6_3,14.43
J6_4,9.46
J6_5,0.88
J3_1,0.46
J3_2,6.90
J3_3,7.03
J3_4,4.87
J3_5,0.55
L6_1,1.07
L6_2,6.63
L6_3,9.74
L6_4,5.38
L6_5,0.84
K3_1,1.26
K3_2,7.86
K3_3,13.98
K3_4,8.55
K3_5,1.29
L3_1,1.78
L3_2,10.92
L3_3,13.33
L3_4,8.25
L3_5,0.98
K4_1,1.91
K4_2,14.07
K4_3,11.93
K4_4,7.82
K4_5,1.10
N4_1,2.74
N4_2,13.34
N4_3,13.40
N4_4,8.90
N4_5,1.23
N3_1,1.34
N3_2,13.18
N3_3,11.66
N3_4,5.08
N3_5,0.74
M2_1,1.30
M2_2,9.46
M2_3,11.62
M2_4,6.50
M2_5,0.60
O1_1,4.81
O1_2,14.62
O1_3,15.66
O1_4,11.38
O1_5,1.18
O3_1,3.24
O3_2,14.50
O3_3,10.28
O3_4,2.61
O3_5,0.33
N6_1,6.52
N6_2,15.98
N6_3,11.84
N6_4,8.37
N6_5,1.13
N5_1,5.83
N5_2,17.29
N5_3,13.25
N5_4,5.77
N5_5,0.67
J1_1,1.28
J1_2,12.09
J1_3,16.48
J1_4,12.41
J1_5,1.38
N2_1,3.16
N2_2,10.21
N2_3,8.21
N2_4,4.73
N2_5,0.53
P4_1,1.35
P4_2,9.23
P4_3,11.99
P4_4,8.27
P4_5,0.72
X2_1,2.77
X2_2,12.03
X2_3,18.88
X2_4,12.99
X2_5,1.10
W2_1,0.79
W2_2,7.75
W2_3,13.31
W2_4,12.58
W2_5,1.76
X5_1,1.34
X5_2,12.98
X5_3,21.78
X5_4,10.86
X5_5,0.99
S1_1,1.17
S1_2,9.86
S1_3,10.65
S1_4,5.91
S1_5,0.65
Z3_1,1.71
Z3_2,11.91
Z3_3,14.94
Z3_4,10.54
Z3_5,1.69
U4_1,2.59
U4_2,17.73
U4_3,25.23
U4_4,15.96
U4_5,1.69
Y6_1,3.44
Y6_2,13.01
Y6_3,13.00
Y6_4,7.41
Y6_5,0.93
W6_1,1.28
W6_2,10.77
W6_3,15.16
W6_4,7.06
W6_5,0.78
U3_1,1.62
U3_2,13.45
U3_3,14.92
U3_4,7.05
U3_5,0.65
T1_1,1.20
T1_2,11.79
T1_3,17.39
T1_4,13.76
T1_5,2.02
T4_1,1.87
T4_2,14.77
T4_3,14.99
T4_4,9.02
T4_5,1.24
U6_1,1.56
U6_2,10.57
U6_3,14.57
U6_4,11.03
U6_5,1.60
V6_1,2.73
V6_2,16.19
V6_3,19.92
V6_4,16.90
V6_5,2.60
X4_1,5.29
X4_2,20.65
X4_3,21.35
X4_4,19.80
X4_5,3.39
Q2_1,2.12
Q2_2,16.05
Q2_3,15.94
Q2_4,11.63
Q2_5,1.52
Q4_1,0.80
Q4_2,10.43
Q4_3,17.17
Q4_4,8.80
Q4_5,0.82
R6_1,1.26
R6_2,13.07
R6_3,19.60
R6_4,9.62
R6_5,0.95
S4_1,3.21
S4_2,15.00
S4_3,10.13
S4_4,5.22
S4_5,0.78
R4_1,1.90
R4_2,9.20
R4_3,12.02
R4_4,7.26
R4_5,0.72
R3_1,2.39
R3_2,11.55
R3_3,10.29
R3_4,6.97
R3_5,0.65
R1_1,1.65
R1_2,12.97
R1_3,14.17
R1_4,11.80
R1_5,1.47
V5_1,3.05
V5_2,21.57
V5_3,17.71
V5_4,10.93
V5_5,1.23
V3_1,1.48
